device_id,current_protocol,payload_size,latency,jitter,throughput,packet_loss
smart_meter-000,MQTT,27.33,148.188,3.875,0.378,2.7263
smart_meter-000,MQTT,21.567,152.735,4.193,0.433,7.3586
smart_meter-000,MQTT,10.783,207.697,3.99,0.323,4.2922
smart_meter-000,MQTT,37.695,325.621,2.33,0.58,6.0127
smart_meter-000,MQTT,24.144,118.675,2.731,0.05,5.4499
smart_meter-000,MQTT,26.442,171.7,1.353,0.673,3.6665
smart_meter-000,MQTT,20.938,55.602,5.507,0.1,0.0
smart_meter-000,MQTT,23.334,173.311,1.523,0.276,6.304
smart_meter-000,MQTT,19.636,190.027,0.106,0.129,1.6446
env_sensor-001,MQTT,73.924,27.081,3.312,3.329,1.3965
env_sensor-001,MQTT,62.954,23.285,0.732,5.063,3.4253
env_sensor-001,MQTT,27.507,46.891,0.1,1.031,1.0376
env_sensor-001,MQTT,92.782,27.568,1.672,0.05,2.2621
env_sensor-001,MQTT,67.907,41.267,3.056,7.461,0.7683
env_sensor-001,MQTT,108.262,18.604,5.049,1.881,2.7096
env_sensor-001,MQTT,98.737,37.6,0.723,6.083,2.2428
env_sensor-001,MQTT,61.45,28.618,1.74,6.864,2.5494
env_sensor-001,MQTT,43.674,51.625,2.825,6.546,2.2001
env_sensor-001,MQTT,44.039,28.4,7.744,9.27,0.8271
env_sensor-001,MQTT,57.128,38.309,2.136,4.238,1.2207
actuator-002,MQTT,94.442,35.741,4.544,7.931,2.6301
actuator-002,MQTT,90.544,24.391,8.93,10.201,0.7758
actuator-002,MQTT,93.549,28.365,8.081,9.184,1.1023
actuator-002,MQTT,142.005,22.774,5.542,13.928,2.0202
actuator-002,MQTT,108.533,16.134,8.692,6.995,1.2807
actuator-002,MQTT,97.688,5.709,5.396,17.046,1.3505
actuator-002,MQTT,127.378,26.011,1.857,7.428,1.1027
actuator-002,MQTT,137.245,27.18,2.527,6.145,0.0
actuator-002,MQTT,123.083,13.648,10.351,7.844,0.2133
actuator-002,MQTT,122.336,19.08,5.125,10.391,0.8268
actuator-002,MQTT,101.187,25.538,8.604,6.155,0.6579
camera-003,HTTPS,1666.629,79.653,6.243,94.08,0.0
camera-003,HTTPS,1656.283,48.347,5.034,193.816,0.8177
camera-003,HTTPS,232.432,79.204,5.082,64.905,0.9806
camera-003,HTTPS,935.594,96.681,0.1,190.524,0.0
gateway-004,HTTPS,1492.776,24.837,10.406,71.877,0.2746
gateway-004,HTTPS,1349.252,41.084,14.822,48.07,1.0851
gateway-004,HTTPS,1650.281,29.3,9.815,21.102,0.7085
gateway-004,HTTPS,785.163,8.928,2.123,74.044,0.7785
gateway-004,HTTPS,509.878,26.972,5.835,40.135,1.3078
gateway-004,HTTPS,8.0,85.288,3.699,38.961,1.9076
gateway-004,HTTPS,1317.354,69.776,5.19,90.081,1.6598
smart_meter-005,LoRaWAN,36.053,193.664,0.682,0.63,3.2847
smart_meter-005,LoRaWAN,25.803,130.434,3.335,0.437,0.0
smart_meter-005,LoRaWAN,35.879,14.011,4.373,0.636,1.4246
smart_meter-005,LoRaWAN,38.452,128.929,3.246,0.37,4.2005
smart_meter-005,LoRaWAN,33.27,49.44,1.892,0.617,1.566
smart_meter-005,LoRaWAN,34.315,72.103,2.284,0.507,4.4863
smart_meter-005,LoRaWAN,27.978,147.272,1.636,0.361,2.6908
smart_meter-005,LoRaWAN,42.385,222.449,0.664,0.376,0.8861
env_sensor-006,HTTPS,79.372,17.383,3.794,0.05,1.1418
env_sensor-006,HTTPS,100.336,26.512,3.63,7.581,1.1561
env_sensor-006,HTTPS,9.791,40.921,4.071,5.878,1.7742
env_sensor-006,HTTPS,53.994,40.751,0.985,1.895,1.0523
actuator-007,LoRaWAN,86.82,6.025,6.286,1.569,0.3455
actuator-007,LoRaWAN,126.848,15.78,12.083,6.321,2.1899
actuator-007,LoRaWAN,87.703,15.514,2.596,6.121,0.4973
actuator-007,LoRaWAN,155.139,21.766,8.929,15.606,1.8159
actuator-007,LoRaWAN,97.366,1.0,9.909,10.366,2.452
actuator-007,LoRaWAN,161.453,26.307,5.64,8.85,0.1753
actuator-007,LoRaWAN,120.422,15.526,4.429,5.067,0.0
camera-008,LoRaWAN,1062.441,54.268,0.1,106.271,0.8031
camera-008,LoRaWAN,1793.837,80.854,3.615,58.519,1.0598
camera-008,LoRaWAN,2049.754,46.947,7.826,107.275,0.9141
camera-008,LoRaWAN,1513.891,88.162,10.712,162.261,1.9804
camera-008,LoRaWAN,932.452,74.883,1.51,90.714,0.0
gateway-009,HTTPS,2154.701,33.943,2.248,28.984,1.2843
gateway-009,HTTPS,410.657,43.266,20.591,87.167,0.4983
gateway-009,HTTPS,1183.078,43.531,7.069,82.215,0.2991
gateway-009,HTTPS,2132.372,42.799,3.382,53.932,0.528
