device_id,current_protocol,payload_size,latency,jitter,throughput,packet_loss
sensor-A,MQTT,394.5767,56.8387,5.2866,13.6035,0.0591
sensor-A,MQTT,256.6127,98.4563,4.4922,19.8496,0.035
sensor-A,MQTT,490.0763,38.7969,3.6967,20.1592,0.0652
sensor-A,MQTT,1348.3294,43.4254,7.248,7.978,0.0532
sensor-A,MQTT,509.0887,72.7817,5.1502,10.6534,0.0148
sensor-A,MQTT,49.8851,52.8546,0.6268,10.8014,0.0334
sensor-B,CoAP,51.1692,53.754,7.144,8.9522,0.0446
sensor-B,CoAP,369.5762,68.1955,1.4628,14.0826,0.0434
sensor-B,CoAP,250.6259,52.6114,7.6921,8.1413,0.074
sensor-B,CoAP,5430.4341,41.9639,2.4125,10.9715,0.0314
sensor-B,CoAP,163.9644,60.4045,4.7453,14.509,0.042
sensor-B,CoAP,669.633,75.1455,7.1048,13.4407,0.0758
sensor-B,CoAP,746.4253,70.5514,4.8107,19.5213,0.0685
sensor-B,CoAP,434.9763,67.8888,6.9145,8.6005,0.0555
sensor-B,CoAP,193.5796,75.5704,4.8049,21.2792,0.0367
gateway-1,HTTPS,2787.884,67.5859,7.455,9.0707,0.0264
gateway-1,HTTPS,119.7606,45.1065,4.7675,6.9867,0.0384
gateway-1,HTTPS,398.7148,76.8843,2.4406,17.3791,0.0616
gateway-1,HTTPS,322.4435,58.4956,4.9504,16.4494,0.0481
gateway-1,HTTPS,537.4979,76.9548,7.9027,19.1276,0.0209
meter-7,LoRaWAN,1177.3728,57.591,4.375,16.7115,0.0438
meter-7,LoRaWAN,72.3492,57.5003,5.099,9.8747,0.0821
meter-7,LoRaWAN,74.3868,83.5972,6.4469,19.0588,0.0639
meter-7,LoRaWAN,382.8297,47.8135,8.5284,3.4168,0.0262
meter-7,LoRaWAN,159.026,43.053,6.2741,17.2959,0.0622
meter-7,LoRaWAN,2498.4008,43.9187,4.4539,11.5404,0.0525
meter-7,LoRaWAN,302.6933,74.6564,4.0649,5.9513,0.0461
meter-7,LoRaWAN,91.6511,70.5319,4.8888,18.0147,0.0453
meter-7,LoRaWAN,200.5419,43.5705,5.9122,21.065,0.0592
cam-3,MQTT,45.1336,31.4167,7.0688,12.9458,0.0397
cam-3,MQTT,20.543,70.2375,4.2801,16.6507,0.0544
cam-3,MQTT,310.3335,58.9908,7.4578,14.7235,0.0345
cam-3,MQTT,712.2362,70.1517,5.7196,19.9104,0.0833
cam-3,MQTT,508.612,43.117,3.8512,17.9994,0.0243
cam-3,MQTT,545.5289,66.42,4.3296,12.6298,0.0431
valve-2,CoAP,393.1324,34.786,5.7202,18.444,0.0772
valve-2,CoAP,24.1223,63.9247,6.3312,4.7043,0.0442
valve-2,CoAP,707.4814,47.1819,9.0909,20.0798,0.0303
valve-2,CoAP,251.0885,65.6331,3.4363,18.2327,0.0621
valve-2,CoAP,313.3633,82.1241,5.545,23.9923,0.0593
valve-2,CoAP,235.5509,31.162,4.1103,21.1548,0.0306
valve-2,CoAP,116.9962,66.8209,6.9161,15.0415,0.0665
valve-2,CoAP,242.6543,66.7581,3.4598,13.133,0.0492
