timestamp,payload_size,latency,jitter,throughput,packet_loss,best_protocol,device_archetype
2025-01-23T05:54:00,126.813,24.993,5.772,2.021,0.9085,MQTT,actuator
2025-01-22T23:34:00,886.912,31.651,13.665,46.636,1.1044,CoAP,gateway
2025-01-22T23:52:00,485.202,95.926,4.295,85.695,3.5006,HTTPS,gateway
2025-01-23T05:12:00,25.785,209.267,0.1,0.547,4.4996,LoRaWAN,smart_meter
2025-01-23T10:06:00,27.388,231.472,2.839,0.759,0.7886,LoRaWAN,smart_meter
2025-01-22T10:45:00,123.649,32.233,1.857,10.012,1.4767,MQTT,actuator
2025-01-23T01:10:00,37.177,160.769,2.149,0.296,2.691,LoRaWAN,smart_meter
2025-01-22T00:24:00,724.789,47.39,17.386,18.88,0.0,CoAP,gateway
2025-01-23T04:09:00,910.246,73.65,1.83,113.275,0.8951,HTTPS,camera
2025-01-22T23:56:00,17.993,196.538,0.787,0.998,3.9932,LoRaWAN,smart_meter
2025-01-23T03:33:00,2421.633,60.652,3.292,35.773,0.3852,HTTPS,camera
2025-01-22T15:03:00,533.657,74.394,7.166,47.306,1.6273,CoAP,gateway
2025-01-22T04:46:00,610.037,51.8,6.128,54.873,0.0,HTTPS,gateway
2025-01-22T01:53:00,759.593,73.131,15.699,0.05,1.2906,CoAP,gateway
2025-01-22T16:46:00,1625.453,23.106,7.378,98.531,0.23,HTTPS,camera
2025-01-21T22:48:00,3347.878,85.906,2.327,148.666,0.6539,HTTPS,camera
2025-01-22T02:51:00,2184.318,62.315,6.586,127.82,1.0754,HTTPS,camera
2025-01-22T16:51:00,86.63,13.223,8.541,12.761,1.0382,MQTT,actuator
2025-01-22T15:02:00,639.005,50.123,4.203,151.849,0.5893,HTTPS,camera
2025-01-22T21:31:00,1745.992,90.784,9.853,125.824,0.1605,HTTPS,camera
2025-01-23T07:36:00,1142.191,77.009,5.782,80.83,1.1619,HTTPS,camera
2025-01-23T05:10:00,31.511,185.476,3.101,1.037,0.0459,MQTT,smart_meter
2025-01-23T02:22:00,1051.201,46.639,2.06,29.566,0.0445,HTTPS,gateway
2025-01-23T10:40:00,27.763,162.582,0.1,0.265,2.8336,MQTT,smart_meter
2025-01-23T01:42:00,55.781,30.296,0.1,0.37,0.6054,MQTT,env_sensor
2025-01-22T19:36:00,34.92,225.885,1.865,0.489,3.0238,LoRaWAN,smart_meter
2025-01-22T21:11:00,130.983,11.987,7.402,5.073,1.1288,MQTT,actuator
2025-01-23T11:20:00,915.75,30.653,8.939,27.208,0.8579,CoAP,gateway
2025-01-22T14:31:00,99.275,6.214,1.776,8.57,0.0,MQTT,actuator
2025-01-23T12:22:00,67.847,36.084,1.596,7.983,0.7794,MQTT,env_sensor
2025-01-22T11:36:00,15.992,44.859,2.879,7.241,1.9801,MQTT,env_sensor
2025-01-23T07:01:00,144.562,58.246,13.015,31.112,2.703,CoAP,gateway
2025-01-23T07:18:00,27.774,282.296,3.496,0.544,2.7849,LoRaWAN,smart_meter
2025-01-22T21:01:00,104.51,30.789,1.619,4.126,3.4229,MQTT,env_sensor
2025-01-22T06:28:00,29.74,132.502,0.54,1.275,1.9574,MQTT,smart_meter
